#     time          Mx           My           Mz      
#     (ns)         (1)          (1)          (1)     
 8.87196e-11     -10817.3      60617.3       836615
 8.89765e-11     -10767.1      60653.6       836721
 8.92334e-11     -10723.1      60693.4       836827
 8.94902e-11     -10685.3      60736.4       836932
 8.97471e-11     -10653.7      60782.5       837036
  9.0004e-11     -10628.2      60831.6       837139
 9.02608e-11     -10608.8      60883.4       837241
 9.05177e-11     -10595.7      60937.8       837342
 9.07746e-11     -10588.7      60994.8       837442
 9.10314e-11     -10587.8        61054       837542
 9.12883e-11       -10593      61115.5       837641
 9.15452e-11     -10604.4      61178.9       837738
 9.19306e-11     -10632.9      61277.6       837884
  9.2316e-11       -10675      61380.1       838027
 9.27014e-11     -10730.8      61485.9       838169
 9.30868e-11       -10800      61594.6       838309
 9.34722e-11     -10882.7      61705.7       838447
 9.38576e-11     -10978.6      61818.7       838584
  9.4243e-11     -11087.7      61933.3       838719
 9.46284e-11     -11209.9        62049       838852
 9.50139e-11     -11345.1      62165.3       838984
 9.53993e-11       -11493        62282       839114
 9.57847e-11     -11653.5      62398.5       839243
 9.61701e-11     -11826.6      62514.5       839370
 9.65555e-11     -12011.9      62629.5       839495
 9.69409e-11     -12209.4      62743.3       839620
 9.73263e-11     -12418.9      62855.4       839742
 9.77117e-11     -12640.2      62965.5       839863
 9.80971e-11       -12873      63073.2       839983
 9.84825e-11     -13117.3      63178.2       840102
 9.88679e-11     -13372.7      63280.2       840219
 9.92534e-11     -13639.1      63378.8       840334
 9.96388e-11     -13916.3      63473.7       840449
 1.00024e-10       -14204      63564.7       840562
  1.0041e-10       -14502      63651.4       840674
 1.00795e-10     -14810.1      63733.5       840784
  1.0118e-10       -15128      63810.8       840894
 1.01566e-10     -15455.6        63883       841002
 1.01951e-10     -15792.5      63949.8       841109
 1.02337e-10     -16138.5        64011       841215
 1.02722e-10     -16493.4      64066.4       841320
 1.03107e-10     -16856.9      64115.6       841423
 1.03493e-10     -17228.7      64158.6       841526
 1.03878e-10     -17608.6      64195.1       841627
 1.04264e-10     -17996.4      64224.8       841727
 1.04649e-10     -18391.7      64247.7       841827
 1.05035e-10     -18794.4      64263.4       841925
  1.0542e-10       -19204      64271.8       842022
 1.05805e-10     -19620.4      64272.8       842118
 1.06191e-10     -20043.3      64266.3       842213
 1.06576e-10     -20472.4      64251.9       842308
 1.06962e-10     -20907.5      64229.7       842401
 1.07347e-10     -21348.2      64199.4       842493
 1.07732e-10     -21794.3        64161       842585
 1.08118e-10     -22245.5      64114.3       842675
 1.08503e-10     -22701.5      64059.2       842765
 1.08889e-10     -23162.2      63995.6       842854
 1.09274e-10     -23627.1      63923.5       842942
 1.09659e-10       -24096      63842.7       843029
