# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-413.0959694572277 826.1919389144555 -1239.287908371683 -323128.4065393894 185398.7157482282 -323479.7883735908 
-403.0204580070513 806.0409160141025 -1209.061374021154 -324682.6562936436 185101.2258557535 -322090.8773759374 
-392.9449465568752 785.8898931137503 -1178.834839670625 -326245.4471809888 184792.388800781 -320685.9922649841 
-382.8694351066987 765.7388702133974 -1148.608305320096 -327816.8095799295 184471.6048077514 -319265.0791685319 
-372.7939236565226 745.5878473130451 -1118.381770969568 -329396.78406539 184138.2627186005 -317828.0718412935 
-362.7184122063461 725.4368244126922 -1088.155236619038 -330985.4312128392 183791.7269415157 -316374.8881196267 
-352.64290075617 705.28580151234 -1057.92870226851 -332582.835844841 183431.3342670296 -314905.4259780553 
-342.5673893059935 685.134778611987 -1027.70216791798 -334189.0948410486 183056.405138721 -313419.5683536829 
-332.4918778558174 664.9837557116348 -997.4756335674521 -335804.3313875957 182666.2295182887 -311917.1749277394 
-322.4163664056409 644.8327328112819 -967.2490992169228 -337428.6911188862 182260.0709100527 -310398.0820843744 
-312.3408549554648 624.6817099109296 -937.0225648663943 -339062.3467060416 181837.1641018399 -308862.0973793847 
-302.2653435052885 604.530687010577 -906.7960305158656 -340705.4855661584 181396.7201076941 -307309.0080672856 
-292.1898320551122 584.3796641102244 -876.5694961653367 -342358.3149351758 180937.9174566865 -305738.5788891947 
-282.1143206049359 564.2286412098719 -846.3429618148077 -344021.041382229 180459.8887592053 -304150.5811852118 
-272.0388091547596 544.0776183095193 -816.1164274642788 -345693.9135732466 179961.7053948399 -302544.7522430251 
-261.9632977045833 523.9265954091667 -785.8898931137501 -347377.2346826227 179442.3945900651 -300920.7673924113 
-251.8877862544071 503.7755725088142 -755.6633587632211 -349071.3461788724 178900.9436923808 -299278.251837392 
-241.8122748042308 483.6245496084616 -725.4368244126922 -350776.6142099091 178336.2845911242 -297616.8021494522 
-231.7367633540545 463.473526708109 -695.2102900621636 -352493.451497016 177747.3030641636 -295935.9513562651 
-221.6612519038782 443.3225038077564 -664.9837557116346 -354222.2972180527 177132.8109234182 -294235.2049771306 
-211.5857404537019 423.1714809074039 -634.7572213611056 -355963.6390787382 176491.5579290372 -292514.0031410513 
-201.5102290035256 403.0204580070512 -604.5306870105768 -357718.0075132418 175822.2146628548 -290771.732346536 
-191.4347175533493 382.8694351066987 -574.304152660048 -359485.9846733198 175123.3723255846 -289007.7087012871 
-181.3592061031732 362.7184122063464 -544.0776183095195 -361268.2019553743 174393.5212556086 -287221.1872407755 
-171.2836946529968 342.5673893059937 -513.8510839589903 -363065.3537162975 173631.057987666 -285411.333049239 
-161.2081832028206 322.4163664056412 -483.6245496084618 -364878.1962987404 172834.2610867368 -283577.2283882816 
-151.1326717526442 302.2653435052885 -453.3980152579326 -366707.5553188174 172001.2776644847 -281717.8619716571 
-141.057160302468 282.114320604936 -423.171480907404 -368554.3387531344 171130.1275396633 -279832.0982919908 
-130.9816488522916 261.9632977045833 -392.9449465568748 -370419.5354440961 170218.6528778241 -277918.6974167781 
-120.9061374021154 241.8122748042309 -362.7184122063464 -372304.2346031534 169264.5317749076 -275976.266333867 
-110.8306259519391 221.6612519038781 -332.491877855817 -374209.6318681669 168265.2359896715 -274003.2594230062 
-100.7551145017629 201.5102290035257 -302.2653435052885 -376137.0443179937 167218.0095056348 -271997.951442097 
-90.6796030515865 181.359206103173 -272.0388091547595 -378087.9258694928 166119.8328888307 -269958.4150062596 
-80.60409160141026 161.2081832028205 -241.8122748042307 -380063.8870192147 164967.3910354628 -267882.4855767885 
-70.5285801512339 141.0571603024678 -211.5857404537016 -382066.7168373725 163757.0239350516 -265767.7282836387 
-60.45306870105776 120.9061374021155 -181.3592061031732 -384098.4103435609 162484.6730725551 -263611.3931302187 
-50.37755725088143 100.7551145017629 -151.1326717526444 -386161.2015358059 161145.8151336713 -261410.3614880777 
-40.30204580070517 80.60409160141033 -120.9061374021153 -388257.6038317657 159735.3807950082 -259161.0803903427 
-30.22653435052884 60.45306870105769 -90.6796030515866 -390390.4600598518 158247.654268844 -256859.4810643856 
-20.15102290035258 40.30204580070517 -60.45306870105782 -392563.0049741006 156676.1423152797 -254500.8800670573 
-10.07551145017626 20.15102290035251 -30.22653435052877 -394778.9440792465 155013.431484757 -252079.8400725367 
0 0 0 -397042.5547766443 153250.9629508955 -249590.0167295531 
10.07551145017626 -20.15102290035251 30.22653435052877 -399358.8173600188 151378.7891998543 -247023.9291590868 
20.15102290035258 -40.30204580070517 60.45306870105782 -401733.5888245231 149385.196762886 -244372.6887323603 
30.22653435052884 -60.45306870105769 90.6796030515866 -404173.8353336244 147256.2615645959 -241625.5960400879 
40.30204580070517 -80.60409160141033 120.9061374021153 -406687.9527339377 144975.1836058554 -238769.6162402724 
50.37755725088143 -100.7551145017629 151.1326717526444 -409286.2174612902 142521.3767792527 -235788.6209238598 
60.45306870105776 -120.9061374021155 181.3592061031732 -411981.4420771751 139869.1479441164 -232662.2815099124 
70.52858015123401 -141.057160302468 211.5857404537022 -414789.9558455586 136985.6723571882 -229364.4316333484 
80.60409160141033 -161.2081832028207 241.812274804231 -417733.1477493591 133827.8923271087 -225860.4367893935 
90.6796030515866 -181.3592061031732 272.0388091547597 -420839.9955399706 130337.3122225819 -222102.9211795984 
100.7551145017629 -201.5102290035259 302.2653435052889 -424151.5145450757 126430.9005524473 -218024.1832793218 
110.8306259519392 -221.6612519038784 332.4918778558176 -427729.2487784008 121983.6304817982 -213521.6804775221 
120.9061374021155 -241.812274804231 362.7184122063464 -431673.5577682783 116790.8840146204 -208426.6137871074 
130.9816488522916 -261.9632977045832 392.9449465568748 -436170.411000857 110471.9310455323 -202423.1938746514 
141.0571603024678 -282.1143206049356 423.1714809074036 -441654.4206253103 102135.6796521578 -194765.2435218187 
151.1326717526442 -302.2653435052883 453.3980152579323 -450011.8972953917 87871.63726653914 -182185.8722752658 
161.2081832028204 -322.4163664056408 483.6245496084614 -350147.3907661164 -271021.3408432317 217642.0500436836 
171.2836946529968 -342.5673893059935 513.8510839589901 -347276.9109266065 -271330.2273439044 221816.3187567114 
181.359206103173 -362.718412206346 544.0776183095189 -344382.3376262285 -271485.9795567935 226097.308332458 
191.4347175533493 -382.8694351066987 574.304152660048 -341454.7397748944 -271473.4129569184 230509.5901319106 
201.5102290035256 -403.0204580070512 604.5306870105768 -338483.7148865596 -271270.1834566277 235085.2754300057 
211.5857404537019 -423.1714809074039 634.7572213611058 -335452.42410771 -270845.6930339503 239871.0197694172 
221.6612519038782 -443.3225038077564 664.9837557116346 -332340.7018194626 -270158.1980017406 244924.540147776 
231.7367633540545 -463.473526708109 695.2102900621634 -329118.1357385219 -269145.0312574152 250331.838321546 
241.8122748042308 -483.6245496084616 725.4368244126923 -325736.6229404173 -267707.3094072373 256226.9957777876 
251.8877862544071 -503.7755725088142 755.6633587632211 -322111.5926176869 -265672.4192849032 262842.3708852969 
261.9632977045833 -523.9265954091667 785.88989311375 -318064.1683582813 -262683.9552815898 270658.7313281706 
272.0388091547596 -544.0776183095193 816.1164274642789 -313070.7863491303 -257694.4860133927 281076.6070184969 
282.1143206049359 -564.2286412098719 846.3429618148077 344021.1812327245 -180462.8649347946 304148.6571444416 
292.1898320551122 -584.3796641102244 876.5694961653365 342358.9897916002 -180938.0848803957 305737.7241177304 
302.2653435052885 -604.530687010577 906.7960305158656 340706.3634396456 -181396.8736049834 307307.9441831429 
312.3408549554647 -624.6817099109295 937.0225648663943 339063.4063800261 -181837.2774075207 308860.8673804329 
322.4163664056412 -644.8327328112823 967.2490992169234 337429.9040150457 -182260.1312506599 310396.7281285184 
332.4918778558174 -664.9837557116349 997.4756335674522 335805.6685719584 -182666.2358961589 311915.7315982456 
342.5673893059937 -685.1347786119874 1027.702167917981 334190.5327929762 -183056.3600060167 313418.0614656633 
352.64290075617 -705.28580151234 1057.92870226851 332584.3594740481 -183431.2406941012 314903.8713173588 
362.7184122063463 -725.4368244126927 1088.155236619039 330987.0295974463 -183791.5877042776 316373.2967988923 
372.7939236565226 -745.5878473130452 1118.381770969568 329398.4448086967 -184138.0845431031 317826.4538681596 
382.8694351066986 -765.7388702133973 1148.608305320096 327818.5263936319 -184471.3902074436 319263.4403561429 
392.944946556875 -785.88989311375 1178.834839670625 326247.2104412391 -184792.1405386321 320684.3414862355 
403.0204580070513 -806.0409160141025 1209.061374021154 324684.4623715276 -185100.9503160361 322089.2151044683 
413.0959694572275 -826.191938914455 1239.287908371683 323130.248964963 -185398.4132174487 323478.1213317108 
423.1714809074038 -846.3429618148076 1269.514442722211 321584.5647313981 -185685.1045767627 324851.0952187696 
433.2469923575802 -866.4939847151603 1299.74097707274 320047.4195534191 -185961.5822312562 326208.1598783904 
443.3225038077564 -886.6450076155129 1329.967511423269 318518.8255001753 -186228.3845680802 327549.3412955553 
453.3980152579327 -906.7960305158654 1360.194045773798 316998.8204021921 -186486.0357642982 328874.6428786138 
463.473526708109 -926.947053416218 1390.420580124327 315487.4508162904 -186735.0437068253 330184.0641661082 
473.5490381582853 -947.0980763165707 1420.647114474856 313984.7753689164 -186975.9013315178 331477.5973694115 
483.6245496084616 -967.2490992169232 1450.873648825384 312490.8681905377 -187209.0888306748 332755.2234852408 
493.7000610586379 -987.4001221172757 1481.100183175914 311005.8008268815 -187435.0676168387 334016.9332227054 
503.7755725088141 -1007.551145017628 1511.326717526442 309529.6674724022 -187654.290312588 335262.6980170966 
513.8510839589903 -1027.702167917981 1541.553251876971 308062.571348561 -187867.1972017363 336492.4854282438 
523.9265954091667 -1047.853190818333 1571.7797862275 306604.6148372883 -188074.2116195953 337706.2710169088 
534.002106859343 -1068.004213718686 1602.006320578029 305155.9119810716 -188275.7462261245 338904.0235317313 
