# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
-574.3041526600481 1148.608305320096 -1722.912457980144 -541979.1794172315 483242.7021399612 -1225464.962170153 
-564.2286412098719 1128.457282419744 -1692.685923629615 -546078.2565824564 475060.963570662 -1226843.48316286 
-554.1531297596955 1108.306259519391 -1662.459389279087 -550362.3504618506 466438.6828541678 -1228236.76542081 
-544.0776183095193 1088.155236619039 -1632.232854928558 -554841.1566786355 457345.3780753338 -1229640.520480944 
-534.002106859343 1068.004213718686 -1602.006320578029 -559524.5583191476 447748.5352470303 -1231049.483742185 
-523.9265954091667 1047.853190818333 -1571.7797862275 -564422.5279998853 437613.6468671286 -1232457.228289028 
-513.8510839589904 1027.702167917981 -1541.553251876971 -569544.9761090537 426904.3113539122 -1233855.965150058 
-503.7755725088142 1007.551145017628 -1511.326717526442 -574901.6366594533 415582.1131761355 -1235236.38586885 
-493.7000610586379 987.4001221172757 -1481.100183175913 -580501.7539652697 403607.2304486331 -1236587.332448796 
-483.6245496084616 967.2490992169231 -1450.873648825385 -586353.8982196463 390938.4073023294 -1237895.626189277 
-473.5490381582853 947.0980763165705 -1420.647114474856 -592465.5262376521 377533.7199033872 -1239145.755815616 
-463.473526708109 926.947053416218 -1390.420580124327 -598842.674684665 363350.9601304993 -1240319.654100813 
-453.3980152579327 906.7960305158654 -1360.194045773798 -605489.3416619896 348348.7712489794 -1241396.433176388 
-443.3225038077564 886.6450076155128 -1329.967511423269 -612407.1260565419 332487.3342937561 -1242352.203720587 
-433.2469923575803 866.4939847151607 -1299.740977072741 -619594.484887935 315729.9225932526 -1243159.926910336 
-423.1714809074039 846.3429618148077 -1269.514442722211 -627046.2507864459 298044.1344490592 -1243789.374007985 
-413.0959694572277 826.1919389144555 -1239.287908371683 -634752.9633917126 279403.6341388149 -1244207.216783226 
-403.0204580070513 806.0409160141025 -1209.061374021154 -642700.3325025674 259789.8512398645 -1244377.285791516 
-392.9449465568752 785.8898931137503 -1178.834839670625 -650868.9117576963 239193.5609838449 -1244260.990986705 
-382.8694351066987 765.7388702133974 -1148.608305320096 -659233.7473585305 217616.5896438609 -1243817.993058232 
-372.7939236565226 745.5878473130451 -1118.381770969568 -667764.5030181771 195072.9192742314 -1243007.014571808 
-362.7184122063461 725.4368244126922 -1088.155236619038 -676425.6628954334 171589.5835359414 -1241786.878251835 
-352.64290075617 705.28580151234 -1057.92870226851 -685177.1633271237 147206.8123328325 -1240117.624605747 
-342.5673893059935 685.134778611987 -1027.70216791798 -693975.2621138868 121977.5416191546 -1237961.682975089 
-332.4918778558174 664.9837557116348 -997.4756335674521 -702773.8073662341 95966.08343869542 -1235284.906452517 
-322.4163664056409 644.8327328112819 -967.2490992169228 -711525.3666559262 69246.39857993652 -1232057.588949827 
